Ano;Mês;Acessos
2026;5;55440609
2026;4;56537805
2026;3;56476669
2026;2;56380475
2026;1;55845849
2025;12;55466489
2025;11;54887209
2025;10;55292586
2025;9;54861114
2025;8;54790127
2025;7;54548742
2025;6;54180163
2025;5;53864968
2025;4;53730406
2025;3;53338293
2025;2;52974817
2025;1;52861764
2024;12;52545157
2024;11;52152230
2024;10;53639801
2024;9;52126735
2024;8;51090233
2024;7;50838596
2024;6;50482399
2024;5;50558871
2024;4;49770859
2024;3;49372431
2024;2;48903058
2024;1;48943570
2023;12;48616954
2023;11;48404681
2023;10;48362699
2023;9;47872655
2023;8;47830947
2023;7;47411171
2023;6;47110710
2023;5;46964573
2023;4;46565103
2023;3;46505416
2023;2;46119225
2023;1;45595912
2022;12;45359471
2022;11;44743936
2022;10;44755605
2022;9;44174312
2022;8;44164919
2022;7;43539586
2022;6;43179191
2022;5;42360477
2022;4;42679148
2022;3;42768917
2022;2;41873632
2022;1;41716841
2021;12;41657433
2021;11;41104946
2021;10;40956803
2021;9;40652832
2021;8;40453434
2021;7;40040504
2021;6;39345594
2021;5;39040080
2021;4;38294045
2021;3;37732481
2021;2;37171451
2021;1;36702926
2020;12;36344670
2020;11;36217023
2020;10;35843054
2020;9;35643759
2020;8;35047193
2020;7;34711249
2020;6;34319021
2020;5;33901720
2020;4;33582173
2020;3;33216768
2020;2;33175908
2020;1;32937919
2019;12;32906998
2019;11;32555668
2019;10;33141484
2019;9;32935318
2019;8;32908814
2019;7;32674781
2019;6;32381287
2019;5;32216895
2019;4;31869402
2019;3;31816115
2019;2;31588335
2019;1;31403186
2018;12;31233004
2018;11;31282392
2018;10;31099574
2018;9;30901221
2018;8;30786746
2018;7;30637122
2018;6;30409751
2018;5;30168864
2018;4;29982969
2018;3;29730689
2018;2;29451588
2018;1;29337140
2017;12;28907867
2017;11;28625289
2017;10;28470391
2017;9;28245082
2017;8;28124915
2017;7;28017526
2017;6;27811271
2017;5;27532234
2017;4;27355651
2017;3;27271198
2017;2;26984405
2017;1;26871757
2016;12;26759384
2016;11;26752180
2016;10;26696680
2016;9;26597040
2016;8;26524724
2016;7;26363183
2016;6;26190009
2016;5;26058521
2016;4;25909692
2016;3;25817676
2016;2;25635669
2016;1;25503607
2015;12;25490708
2015;11;25440089
2015;10;25522576
2015;9;25456712
2015;8;25260451
2015;7;25112567
2015;6;24963226
2015;5;24883179
2015;4;24699196
2015;3;24550596
2015;2;24403070
2015;1;24157161
2014;12;23968352
2014;11;23941892
2014;10;23831870
2014;9;23707865
2014;8;23457134
2014;7;23409559
2014;6;23251535
2014;5;23116392
2014;4;22963130
2014;3;22795495
2014;2;22587204
2014;1;22372235
2013;12;22185749
2013;11;22217214
2013;10;22057359
2013;9;21783064
2013;8;21643902
2013;7;21436436
2013;6;21225349
2013;5;21044435
2013;4;20833834
2013;3;20602575
2013;2;20321766
2013;1;20099486
2012;12;19828739
2012;11;19762137
2012;10;19524795
2012;9;19357797
2012;8;18912861
2012;7;18711444
2012;6;18448468
2012;5;18291733
2012;4;18013048
2012;3;17717526
2012;2;17420209
2012;1;17262786
2011;12;17021367
2011;11;16821082
2011;10;16600169
2011;9;16409889
2011;8;16234050
2011;7;16011957
2011;6;15622713
2011;5;15486330
2011;4;15260984
2011;3;15058564
2011;2;14764348
2011;1;14508818
2010;12;14956750
2010;9;14466539
2010;6;13803825
2010;3;12903923
2009;12;12491817
2009;9;12075235
2009;6;11760752
2009;3;10965618
2008;12;10618609
2008;9;10131690
2008;6;9356215
2008;3;8893766
2007;12;8260540
2007;9;7451541
2007;6;6595199
2007;3;6362032
